K_features,n_used,model,variant,OOF_AUQC,overall_uplift_all,Uplift10,Saved10,Uplift30,Saved30,n_pos(score>0),n_guard(score>0.005)
60,60,C_mlp_twohead,CHURN_INTENSITY=1.5,0.027824644648585695,0.0388059537782707,0.03205190945990194,32.05190945990194,0.05692450529065285,170.77351587195855,7386,6301
80,80,C_mlp_twohead,CHURN_INTENSITY=1.5,0.024250859786160657,0.03841161798664036,0.04422497371913531,44.224973719135306,0.046062060814662964,138.18618244398888,8709,7647
20,20,B_boost_tlearner,RISK_p0,0.021790249667683517,0.03815227855099054,0.005622575083706061,5.62257508370606,0.026839061757145732,80.5171852714372,10000,10000
40,40,A_logreg_tlearner,RAND,0.02137537120467758,0.037940703995713615,0.028235547207667938,28.23554720766794,0.04983336496635918,149.50009489907754,5008,4986
20,20,C_mlp_twohead,CHURN_INTENSITY=1.2,0.019955300336685876,0.03815227855099054,0.053620926361084786,53.620926361084784,0.04800635268954581,144.01905806863743,8933,8395
80,80,C_mlp_twohead,CHURN_INTENSITY=1.2,0.018750532229736817,0.03841161798664036,0.0363826814179917,36.3826814179917,0.04496561300008492,134.89683900025477,8709,7947
20,20,C_mlp_twohead,CHURN_INTENSITY=1.0,0.014834175295678742,0.03815227855099054,0.05261433923057959,52.614339230579596,0.04952544186235075,148.57632558705225,8933,8497
80,80,C_mlp_twohead,CHURN_INTENSITY=1.0,0.01374117659117788,0.03841161798664036,0.03243672539600348,32.43672539600348,0.04730956114848073,141.92868344544218,8709,8102
60,60,B_boost_tlearner,RAND,0.006765352297050791,0.0388059537782707,0.040070755611927855,40.07075561192786,0.022279190596769277,66.83757179030783,4933,4915
80,80,C_mlp_twohead,CHURN_INTENSITY=0.6,0.005088123330481519,0.03841161798664036,0.026760792701176955,26.760792701176957,0.04219968634236804,126.5990590271041,8709,8330
60,60,B_boost_tlearner,CHURN_INTENSITY=1.5,0.0035546023413703777,0.0388059537782707,0.0290584300823441,29.0584300823441,0.03788500137454198,113.65500412362594,6854,3930
80,80,B_boost_tlearner,RISK_p0,0.0022736895704474846,0.03841161798664036,0.015168250870756572,15.168250870756573,0.031663154210146593,94.98946263043977,10000,9999
60,60,B_boost_tlearner,CHURN_INTENSITY=1.2,0.0016573352737730954,0.0388059537782707,0.030263854788179834,30.263854788179835,0.0365399638870246,109.61989166107381,6854,4741
60,60,B_boost_tlearner,RISK_p0,0.0014573948971037867,0.0388059537782707,0.03782615008704959,37.82615008704959,0.020797565886544578,62.39269765963373,10000,10000
60,60,B_boost_tlearner,CHURN_INTENSITY=1.0,0.0011231248457862911,0.0388059537782707,0.027675202301370827,27.675202301370827,0.03749748946178419,112.49246838535257,6854,5231
20,20,C_mlp_twohead,CHURN_INTENSITY=0.6,-0.0004293304578910122,0.03815227855099054,0.05886218236063115,58.86218236063115,0.04084636175748971,122.53908527246912,8933,8635
60,60,B_boost_tlearner,CHURN_INTENSITY=0.6,-0.0016358309064793718,0.0388059537782707,0.03219981185613441,32.19981185613441,0.037696573042067305,113.08971912620191,6854,6071
60,60,B_boost_tlearner,CHURN_INTENSITY=0.2,-0.005234648863629817,0.0388059537782707,0.021336930634305085,21.336930634305084,0.03776315038620359,113.28945115861077,6854,6521
60,60,B_boost_tlearner,BASE,-0.005538362165707248,0.0388059537782707,0.006160423796326919,6.160423796326919,0.0407668691820936,122.3006075462808,6854,6646
20,20,B_boost_tlearner,BASE,-0.008407436553481688,0.03815227855099054,0.04813156792869169,48.131567928691695,0.05009775350683934,150.29326052051803,6702,6504
80,80,C_mlp_twohead,CHURN_INTENSITY=0.2,-0.00912237314842314,0.03841161798664036,0.020466533758823263,20.466533758823264,0.04360563742118956,130.81691226356867,8709,8450
100,99,C_mlp_twohead,RAND,-0.011283456923822105,0.038529604438258175,0.016326209050456342,16.32620905045634,0.041195607506127885,123.58682251838366,5085,5057
40,40,B_boost_tlearner,BASE,-0.013350637095111223,0.037940703995713615,0.005266046405190683,5.266046405190683,0.04570111189396847,137.1033356819054,6812,6627
80,80,B_boost_tlearner,RAND,-0.014793725869383472,0.03841161798664036,0.026688309333252863,26.688309333252864,0.04050567509363043,121.51702528089129,4962,4941
20,20,C_mlp_twohead,CHURN_INTENSITY=0.2,-0.014932138976448177,0.03815227855099054,0.054359557670412756,54.359557670412755,0.03368914874533191,101.06744623599573,8933,8720
80,80,C_mlp_twohead,BASE,-0.015612726076044055,0.03841161798664036,0.010342465846856969,10.34246584685697,0.039645327415255616,118.93598224576685,8709,8490
40,40,B_boost_tlearner,CHURN_INTENSITY=0.2,-0.016903088171837624,0.037940703995713615,0.007956129066293005,7.9561290662930055,0.05112778041253316,153.38334123759947,6812,6510
40,40,C_mlp_twohead,RAND,-0.019541772182518156,0.037940703995713615,0.027684836339282815,27.684836339282814,0.03455588334314938,103.66765002944814,4978,4962
20,20,B_boost_tlearner,CHURN_INTENSITY=0.2,-0.021917045651434475,0.03815227855099054,0.053756066441507155,53.75606644150716,0.04376483374723303,131.2945012416991,6702,6377
20,20,C_mlp_twohead,BASE,-0.022118166812835894,0.03815227855099054,0.03036260845972344,30.36260845972344,0.038712884327565755,116.13865298269727,8933,8755
40,40,B_boost_tlearner,CHURN_INTENSITY=0.6,-0.025147953225282668,0.037940703995713615,0.024709476967958777,24.70947696795878,0.0471986912908931,141.5960738726793,6812,6063
40,40,B_boost_tlearner,RISK_p0,-0.026880001676725895,0.037940703995713615,0.006991070320223169,6.991070320223169,0.017112997575293054,51.338992725879166,10000,10000
100,99,C_mlp_twohead,CHURN_INTENSITY=1.5,-0.029425411860575602,0.038529604438258175,0.03963906457544711,39.63906457544711,0.04895956296612236,146.87868889836707,8385,7335
100,99,C_mlp_twohead,CHURN_INTENSITY=1.2,-0.032294369499006596,0.038529604438258175,0.029113368520413796,29.113368520413797,0.04482079721503604,134.4623916451081,8385,7583
40,40,A_logreg_tlearner,CHURN_INTENSITY=1.5,-0.03244400733299736,0.037940703995713615,0.04812022082527129,48.12022082527129,0.03519668762698422,105.59006288095266,7367,6411
40,40,B_boost_tlearner,CHURN_INTENSITY=1.0,-0.03248239079922709,0.037940703995713615,0.03373773137000741,33.73773137000741,0.038667001387081124,116.00100416124337,6812,5205
100,99,C_mlp_twohead,CHURN_INTENSITY=1.0,-0.033607968573100395,0.038529604438258175,0.021723056979646854,21.723056979646856,0.04720550059967832,141.61650179903495,8385,7710
20,20,C_mlp_twohead,RAND,-0.035551920544640014,0.03815227855099054,0.03431517506692483,34.31517506692483,0.02491037186699044,74.73111560097132,4981,4965
40,40,B_boost_tlearner,CHURN_INTENSITY=1.2,-0.035655303626647095,0.037940703995713615,0.024664161540266127,24.66416154026613,0.031216384038933953,93.64915211680186,6812,4705
40,40,C_mlp_twohead,CHURN_INTENSITY=1.5,-0.03692394584761885,0.037940703995713615,0.035469213974401115,35.469213974401114,0.029059396565214946,87.17818969564483,8570,7571
80,80,A_logreg_tlearner,RAND,-0.03764046556430904,0.03841161798664036,0.04717799469095224,47.17799469095224,0.047868222108275404,143.6046663248262,4975,4949
40,40,A_logreg_tlearner,CHURN_INTENSITY=1.2,-0.03794970376091443,0.037940703995713615,0.06556752203757873,65.56752203757874,0.03161038137432168,94.83114412296503,7367,6671
40,40,B_boost_tlearner,CHURN_INTENSITY=1.5,-0.03852069011308136,0.037940703995713615,0.027134130283465674,27.134130283465673,0.03197755198254368,95.93265594763103,6812,3909
100,99,C_mlp_twohead,CHURN_INTENSITY=0.6,-0.039530233353354545,0.038529604438258175,0.0019677621888648245,1.9677621888648245,0.045608196976057,136.824590928171,8385,7930
