iter	Logloss
0	0.6906522311
1	0.6886155818
2	0.6864472844
3	0.6847577374
4	0.6826912748
5	0.6811666635
6	0.6794792293
7	0.6781056566
8	0.6764978497
9	0.6753884653
10	0.674337346
11	0.672932035
12	0.6719595572
13	0.6706519494
14	0.6691122671
15	0.6675620681
16	0.6662323468
17	0.6653077111
18	0.664407959
19	0.6629119873
20	0.6617114258
21	0.6601693021
22	0.6591902982
23	0.6579176683
24	0.6574537541
25	0.6563693472
26	0.6553598257
27	0.6536385874
28	0.6527448918
29	0.6515169584
30	0.6505874399
31	0.6500872333
32	0.6493699294
33	0.6482423284
34	0.6474838492
35	0.6466731614
36	0.6457832689
37	0.6447871282
38	0.6443353741
39	0.6435543119
40	0.64287654
41	0.6418524639
42	0.6406827017
43	0.6393494591
44	0.6383664645
45	0.6371794715
46	0.6365581806
47	0.6356171593
48	0.634919058
49	0.6339825909
50	0.6334556227
51	0.6323285382
52	0.6312905649
53	0.6308695162
54	0.6303969163
55	0.629263916
56	0.6284974084
57	0.6277715595
58	0.6270643498
59	0.6265980412
60	0.6264725436
61	0.6252675218
62	0.6251074688
63	0.6247459998
64	0.6244696045
65	0.6239856896
66	0.6232037354
67	0.6227204778
68	0.6223571777
69	0.6220395602
70	0.6214513221
71	0.6211055814
72	0.6207093694
73	0.6198407452
74	0.6195480112
75	0.6189456881
76	0.6179629282
77	0.6171307843
78	0.6166956505
79	0.6156048114
80	0.6149862906
81	0.6146254319
82	0.6143267353
83	0.6139381761
84	0.6135186298
85	0.6133873573
86	0.6127005709
87	0.6121893311
88	0.6116931152
89	0.611114502
90	0.6109188608
91	0.610263578
92	0.6095206862
93	0.6093662203
94	0.6085770827
95	0.6082747709
96	0.6080753268
97	0.6074556321
98	0.6071284837
99	0.6067091722
100	0.6062271822
101	0.6054485145
102	0.6044609657
103	0.6040669603
104	0.6036525785
105	0.6026031964
106	0.6022980675
107	0.6019935021
108	0.6014115084
109	0.6005728384
110	0.6003778076
111	0.5998344069
112	0.599698768
113	0.5994627498
114	0.5989190204
115	0.5982470703
116	0.5977292574
117	0.5977217924
118	0.5973613093
119	0.5970501709
120	0.5966925518
121	0.5963981276
122	0.5959926664
123	0.5952998704
124	0.5948817796
125	0.5946788612
126	0.5941185584
127	0.593732112
128	0.5936767578
129	0.5933633658
130	0.593028095
131	0.5926430101
132	0.5921359018
133	0.5912215482
134	0.591136099
135	0.5908568397
136	0.5899935209
137	0.5892333984
138	0.5889614633
139	0.588780095
140	0.5879183256
141	0.5875151179
142	0.5871567946
143	0.5870051927
144	0.5863493465
145	0.5863406607
146	0.5857926119
147	0.5854204853
148	0.5848590557
149	0.5841647574
150	0.5836199012
151	0.5825610352
152	0.5824028133
153	0.5818333083
154	0.5814530123
155	0.5812209379
156	0.580957266
157	0.5804610502
158	0.5798954421
159	0.5793385198
160	0.5784501296
161	0.5782692308
162	0.5778810941
163	0.5773691031
164	0.5766175255
165	0.5764924504
166	0.5764839994
167	0.5763630559
168	0.5760097093
169	0.5755311467
170	0.5753467736
171	0.5747817758
172	0.5734721492
173	0.5729986572
174	0.5728497314
175	0.5728127817
176	0.5723718262
177	0.5718788499
178	0.5708581543
179	0.570469736
180	0.5703151762
181	0.5697593337
182	0.5695677302
183	0.5694865535
184	0.5691106239
185	0.5688965783
186	0.5684529935
187	0.5676839506
188	0.5673783053
189	0.5670061786
190	0.5666576209
191	0.5665516076
192	0.5661103234
193	0.5652186937
194	0.5648910757
195	0.5645498422
196	0.5642138672
197	0.5638264348
198	0.5637469013
199	0.5637097168
200	0.5636950684
201	0.5635590069
202	0.5632915321
203	0.5630009108
204	0.5629799241
205	0.5626171405
206	0.5620586689
207	0.5618531682
208	0.5609889573
209	0.5607950533
210	0.5604364483
211	0.5600794396
212	0.5596177791
213	0.5591320801
214	0.5591055063
215	0.5588985032
216	0.5584479229
217	0.5579953238
218	0.5577955041
219	0.556638747
220	0.5551813214
221	0.5548504169
222	0.5548356746
223	0.5543847656
224	0.5537915039
225	0.5536825796
226	0.5523646898
227	0.5517510986
228	0.5515196345
229	0.5510826698
230	0.5508937425
231	0.5500984544
232	0.5499261475
233	0.5496128024
234	0.5488596755
235	0.5488492526
236	0.5477788368
237	0.5472803204
238	0.5471306904
239	0.5469701679
240	0.546559683
241	0.5460161415
242	0.5459828069
243	0.5453772912
244	0.5451036659
245	0.5449535194
246	0.5446123798
247	0.5444529841
248	0.543753803
249	0.5435983511
250	0.5424987793
251	0.5416096849
252	0.5414544208
253	0.5412971849
254	0.5406036846
255	0.5405940129
256	0.5401405217
257	0.5399753981
258	0.538746244
259	0.5382279147
260	0.5375720215
261	0.5372578782
262	0.5366838191
263	0.5361319204
264	0.5359156682
265	0.5353328764
266	0.5350447904
267	0.5340623122
268	0.5334700834
269	0.5332302622
270	0.5326119291
271	0.532066979
272	0.531009052
273	0.5302229661
274	0.5297913067
275	0.5295635517
276	0.5294627028
277	0.5293569242
278	0.5282325158
279	0.5281796969
280	0.5279659799
281	0.5277233887
282	0.5274646935
283	0.5274173208
284	0.5272027588
285	0.5271122859
286	0.5269186167
287	0.5267066369
288	0.5261613582
289	0.5261280236
290	0.5258176833
291	0.5250274189
292	0.5247970816
293	0.524427678
294	0.5236322491
295	0.5236177885
296	0.5236111685
297	0.522944242
298	0.5229068228
299	0.5228695913
300	0.5224662898
301	0.5224520639
302	0.521746075
303	0.5212986403
304	0.5205814303
305	0.5198996206
306	0.5194487117
307	0.5185669884
308	0.5185100379
309	0.5182975886
310	0.5181467379
311	0.5178545673
312	0.5173857234
313	0.5162363845
